staff_id,npi,first_name,last_name,job_code,job_title,credential,primary_facility_id,primary_unit_id,employment_type,fte,hire_date,termination_date,is_active
STF000001,,Kevin,Schneider,CNA,Certified Nursing Assistant,CNA,330101,330101-PEDS,1,1.0,2017-10-10,,1
STF000002,1430608462,Eric,Hernandez,RN,Registered Nurse,RN,330101,330101-PSY,1,1.0,2019-09-15,,1
STF000003,1836429636,Tyler,Orr,RN,Registered Nurse,RN,330101,330101-SDU,1,1.0,2016-07-11,,1
STF000004,1960962030,Evan,Chapman,RN,Registered Nurse,RN,330101,330101-MS,1,0.8,2020-12-11,,1
STF000005,1505249652,Robert,Barnes,RN,Registered Nurse,RN,330101,330101-ASC,1,1.0,2021-10-03,,1
STF000006,,Kevin,Rowe,CNA,Certified Nursing Assistant,CNA,330101,330101-PSY,1,1.0,2022-11-09,2026-05-28,0
STF000007,1197428408,David,Davis,RN,Registered Nurse,RN,330101,330101-TELE,1,1.0,2021-01-01,2026-07-23,0
STF000008,1285210741,Sylvia,Olson,RN,Registered Nurse,RN,330101,330101-LD,1,1.0,2015-12-06,,1
STF000009,1947539939,John,Diaz,RPh,Pharmacist,PharmD,330101,330101-LD,1,1.0,2024-01-26,2026-07-08,0
STF000010,1323369059,Dennis,Moody,MD,Physician,MD,330101,330101-OPC,1,1.0,2021-05-20,,1
STF000011,1720706430,Carlos,Leblanc,LPN,Licensed Practical Nurse,LPN,330101,330101-ONC,1,0.8,2019-02-01,,1
STF000012,1091749581,Joshua,Bowman,RN,Registered Nurse,RN,330101,330101-MICU,2,1.0,2023-12-02,,1
STF000013,,Katherine,Wilson,CNA,Certified Nursing Assistant,CNA,330101,330101-MS,1,1.0,2017-11-09,,1
STF000014,,Amy,Salazar,UC,Unit Clerk,,330101,330101-TELE,1,1.0,2022-07-08,,1
STF000015,1910851400,Michele,Simpson,RN,Registered Nurse,RN,330101,330101-MICU,1,1.0,2026-05-30,,1
STF000016,,David,Smith,CNA,Certified Nursing Assistant,CNA,330101,330101-PSY,1,0.9,2020-05-24,,1
STF000017,1661055941,Leah,Lopez,MD,Physician,MD,330101,330101-OPC,1,1.0,2019-06-18,,1
STF000018,,James,Mejia,CNA,Certified Nursing Assistant,CNA,330101,330101-MICU,1,0.6,2015-06-18,,1
STF000019,1179952165,Frank,Cunningham,RN,Registered Nurse,RN,330101,330101-TELE,2,1.0,2021-10-16,,1
STF000020,1839370673,Christie,Cline,RN,Registered Nurse,RN,330101,330101-MS,1,0.6,2023-05-14,,1
STF000021,1896966239,Mason,Whitaker,RN,Registered Nurse,RN,330101,330101-SICU,2,1.0,2022-05-11,,1
STF000022,,Kaitlyn,Patterson,RT,Respiratory Therapist,RRT,330101,330101-TELE,1,1.0,2022-08-19,,1
STF000023,1923552606,Andrea,Johnson,RN,Registered Nurse,RN,330101,330101-ONC,1,1.0,2023-02-28,,1
STF000024,1117759780,Desiree,Ramos,PA,Physician Assistant,PA-C,330101,330101-ED,1,1.0,2024-06-11,,1
STF000025,1611038639,Steve,Stone,RN,Registered Nurse,RN,330101,330101-ASC,2,1.0,2022-02-16,,1
STF000026,1909132696,Jessica,Fields,RN,Registered Nurse,RN,330101,330101-PSY,1,0.6,2017-02-04,,1
STF000027,1983313173,Tanya,Hutchinson,RN,Registered Nurse,RN,330101,330101-TELE,1,1.0,2024-05-02,,1
STF000028,,Keith,Bonilla,PharmTech,Pharmacy Technician,CPhT,330101,330101-MICU,1,1.0,2025-10-18,,1
